title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
FLOWER,flower,A,1150,120.69,20.8,10.0053,2.8,173.0,173.0,1.0,47.1,44.1,39.2,7.3,19.2,7.6,20.6,185.1,1130,965.0,,,,,
Fractal,fractal,A,1512,124.8,15.0,12.0016,1.4,175.0,175.0,1.0,59.2,42.1,52.2,5.7,29.5,3.1,0.0,191.8,1512,1156.0,,,,,
FREEDOM,freedom,A,1481,123.3,17.2,11.8919,3.8,150.0,150.0,1.0,43.2,57.4,38.6,13.0,20.3,16.6,0.0,189.1,1481,1140.5,,,,,
Funny shuffle,funnysfl,A,1199,104.35,19.4,11.4114,6.6,115.0,115.0,1.0,48.2,59.8,50.8,19.3,56.1,21.3,0.0,255.5,1199,999.5,,,,,
FUTURE is Dead,futuredd,A,0,0.0,0.0,0.0,0.0,110.0,220.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,
G2,g2,A,986,112.94,15.2,8.6035,2.2,170.0,170.0,1.0,31.7,32.6,13.0,34.2,90.6,5.2,0.0,207.3,986,893.0,,,,,
GALGALIM,galgalim,A,1148,106.27,15.0,10.6336,2.4,165.0,165.0,1.0,57.0,25.9,40.1,8.3,31.4,10.2,0.0,172.9,1148,974.0,,,,,
Game Changers,gamechng,A,1395,121.21,18.0,11.3754,3.4,105.0,210.0,2.0,57.3,41.1,38.7,9.1,39.6,28.5,0.0,214.3,1395,1097.5,,,,,
Garuda,garuda,A,1174,97.59,17.6,13.5279,2.4,160.0,160.0,1.0,55.4,61.8,48.7,15.7,45.2,7.7,0.0,234.5,1174,987.0,,,,,
GENOCIDE,genocide,A,1204,94.71,15.8,12.5432,2.6,175.0,175.0,1.0,63.9,35.9,56.1,23.3,43.8,6.4,0.0,229.4,1204,1002.0,,,,,
Get Higher,gethighr,A,1171,120.0,16.4,9.75,3.4,170.0,170.0,1.0,41.6,32.4,32.5,2.4,18.8,4.3,13.8,145.8,1154,977.0,,,,,
Get On Your Feet,get_feet,A,1384,119.23,18.2,11.5183,2.2,155.0,155.0,1.0,75.7,45.4,65.2,13.6,35.4,7.4,33.7,276.4,1352,1076.0,,,,,
GET READY!!,getready,A,1352,122.65,18.2,10.9415,2.6,88.0,175.0,1.9886,49.1,50.2,35.7,6.3,30.8,8.2,23.6,203.9,1331,1065.5,,,,,
GHOST,ghosthmj,A,1403,112.79,20.0,12.3027,2.6,120.0,180.0,1.5,57.9,43.5,47.6,16.2,19.7,9.5,0.0,194.4,1403,1101.5,,,,,
GIGA RAID,gigaraid,A,1222,118.5,15.6,10.2134,2.0,150.0,150.0,1.0,42.0,43.9,36.3,10.7,20.8,7.3,30.9,191.9,1189,994.5,,,,,
GIGA THRASH,gigathra,A,1247,118.5,16.4,11.557,4.2,150.0,150.0,1.0,63.3,40.5,51.2,24.8,36.8,14.4,9.5,240.5,1234,1017.0,,,,,
GIGA VIOLATE,gigaviol,A,1261,116.8,16.8,11.686,3.0,150.0,150.0,1.0,66.1,46.3,55.6,25.0,43.4,10.5,13.5,260.4,1237,1018.5,,,,,
GIGANT,gigant,X,854,101.25,11.8,8.3039,1.2,140.0,140.0,1.0,50.8,37.1,53.7,21.5,6.5,4.3,84.8,258.7,742,742,,,,,
Giudecca,giudecca,A,1340,111.48,18.0,11.8446,2.0,155.0,155.0,1.0,87.9,25.5,73.8,12.3,31.7,5.9,0.0,237.1,1340,1070.0,,,,,
"PON\,",globeglt,A,1369,113.68,16.0,11.9351,2.2,190.0,190.0,1.0,38.1,37.0,39.3,10.4,21.7,7.4,0.0,153.9,1369,1084.5,,,,,
GloriosA,gloriosa,A,1437,113.91,17.8,12.4684,2.0,175.0,175.0,1.0,50.6,56.0,46.0,14.1,23.0,5.8,9.0,204.5,1423,1111.5,,,,,
GLORIOUS HAMMER,glhammer,A,1587,117.87,18.0,13.3254,2.6,120.0,160.0,1.3333,69.7,45.3,62.7,6.0,25.6,7.7,18.0,235.0,1561,1180.5,,,,,
GO!,go_juger,A,1618,121.88,16.8,13.1984,5.6,128.0,128.0,1.0,80.3,37.5,70.3,13.5,41.3,31.2,3.3,277.4,1612,1206.0,,,,,
GOBBLE,gobblecp,A,835,96.0,16.4,8.9462,0.8,160.0,160.0,1.0,56.7,26.9,35.7,10.1,39.4,2.6,0.0,171.4,835,817.5,,,,,
GOLD RUSH,goldrush,A,1078,93.43,15.6,11.3404,2.4,162.0,162.0,1.0,12.0,62.6,7.8,25.0,42.5,7.9,0.0,157.8,1078,939.0,,,,,
GOLD RUSH 2025,gold2025,A,1420,138.07,16.0,10.2101,4.0,120.0,200.0,1.6667,28.7,47.5,27.8,19.1,25.9,10.4,7.0,166.4,1418,1109.0,,,,,
Halfway of promise,halfway,A,455,114.86,11.6,5.7462,7.0,140.0,140.0,1.0,4.6,27.7,3.2,3.8,16.5,60.9,0.0,116.7,455,455,,,,,
Hallucination,hallucin,A,1391,127.87,16.2,10.8094,2.4,120.0,160.0,1.3333,77.8,27.8,61.4,3.6,31.7,6.0,0.0,208.3,1391,1095.5,,,,,
HAPPY★RUSH,happyrsh,A,1464,121.95,18.8,11.9656,2.4,185.0,185.0,1.0,51.4,48.2,46.9,7.0,30.9,10.4,0.0,194.8,1464,1132.0,,,,,
Harmony and Lovely,harmlove,A,1127,110.22,16.6,10.0919,0.4,135.0,135.0,1.0,72.8,39.0,57.9,37.6,51.3,0.8,0.0,259.4,1127,963.5,,,,,
Hat Surprise,hatsurpr,A,1234,106.75,16.2,11.4262,1.8,180.0,180.0,1.0,45.4,49.5,34.7,8.4,20.4,6.0,0.0,164.4,1234,1017.0,,,,,
Hat Surprise (Season 3),hatsurp3,A,1384,114.75,15.6,11.9304,3.2,180.0,180.0,1.0,46.2,35.6,36.0,8.3,20.5,11.4,0.0,158.0,1384,1092.0,,,,,
Heavenly Sun(IIDX VERSION),hvnlysun,X,1060,116.31,13.4,9.1826,0.2,130.0,130.0,1.0,81.3,25.4,70.0,5.1,20.8,0.3,0.0,202.9,1060,930.0,,,,,
HEISEI,heisei,A,1181,120.0,16.6,10.8349,1.8,152.0,152.0,1.0,52.9,50.2,46.9,7.4,33.8,2.0,13.5,206.7,1169,984.5,,,,,
HELL SCAPER-Last Escape Remix-,helsca_t,A,1335,140.0,18.2,9.9597,7.6,180.0,180.0,1.0,19.4,50.1,14.6,15.4,49.6,18.5,0.0,167.6,1335,1067.5,,,,,
Hello Happiness,hellohap,A,1164,101.62,17.4,11.3549,5.8,182.0,182.0,1.0,41.9,32.4,29.7,6.6,24.0,17.8,0.0,152.4,1164,982.0,,,,,
HIGH,high,X,1460,106.67,17.4,13.4935,2.6,180.0,180.0,1.0,10.7,74.3,8.9,2.0,13.5,8.8,0.0,118.2,1460,1130.0,,,,,
Holic,holic,A,402,70.45,16.4,6.4295,0.2,155.0,155.0,1.0,63.5,44.8,52.8,0.0,35.9,0.6,0.0,197.6,402,402,,,,,
Honey Trap,honeytrp,A,1284,121.5,14.6,10.5197,7.4,160.0,160.0,1.0,43.5,40.1,39.5,5.3,20.3,18.0,0.0,166.7,1284,1042.0,,,,,
Hydrogen Blueback,hydrblue,X,737,109.2,14.2,6.64,1.8,143.0,143.0,1.0,41.0,30.6,42.9,18.9,25.7,6.3,0.0,165.4,737,737,,,,,
HYPE THE CORE,hypecr25,A,1101,107.45,18.4,10.6155,3.0,190.0,190.0,1.0,24.9,52.6,23.3,20.9,29.1,10.0,0.0,160.8,1101,950.5,,,,,
HYPERION,hyperion,A,1264,120.1,16.0,10.3934,2.0,150.0,150.0,1.0,90.5,26.2,73.9,14.0,38.2,4.6,0.0,247.4,1264,1032.0,,,,,
I FIGHT ME,ifightme,X,1180,117.94,15.8,10.0017,0.8,175.0,175.0,1.0,5.9,58.4,4.5,2.8,13.1,1.1,29.7,115.5,1117,958.5,,,,,
I Love You,iloveyou,A,1362,118.59,16.4,11.3647,2.0,170.0,170.0,1.0,68.8,36.8,60.7,3.9,39.2,6.1,4.1,219.6,1360,1080.0,,,,,
I will be back-オレは帰ってきた-,iwilback,A,1416,107.44,19.0,13.0648,2.4,172.0,172.0,1.0,74.8,59.1,61.4,12.1,22.7,3.1,1.6,234.8,1415,1107.5,,,,,
i-ii,i_ii,A,1499,119.23,19.4,12.4617,3.4,155.0,155.0,1.0,70.8,34.3,54.8,23.2,31.2,17.6,10.5,242.4,1486,1143.0,,,,,
I'm so Happy,im_happy,A,1174,94.23,18.4,12.2968,2.4,181.0,181.0,1.0,45.1,46.4,33.5,11.6,21.1,8.8,0.0,166.5,1174,987.0,,,,,
IDC feat.REVERBEE (Mo'Cuts Ver),idc,A,1036,116.57,15.6,9.9442,5.4,140.0,140.0,1.0,15.6,33.9,3.8,0.0,11.7,59.0,0.0,124.0,1036,918.0,,,,,
IDOL syndrome.,idolsynd,X,1571,127.45,18.4,12.2547,1.6,145.0,145.0,1.0,69.8,65.8,63.3,14.8,20.5,5.4,68.8,308.4,1525,1162.5,,,,,
ILAYZA,ilayza,A,1433,109.5,15.4,12.9455,2.2,160.0,160.0,1.0,80.9,35.8,58.6,25.4,38.0,2.9,20.9,262.5,1405,1102.5,,,,,
IN BETWEEN,inbetwen,A,1201,111.09,15.4,10.6964,3.0,160.0,160.0,1.0,42.9,47.2,32.9,8.6,19.9,8.2,5.1,164.8,1197,998.5,,,,,
In the Blackest Den,in_black,A,1229,100.68,17.4,12.0832,3.8,177.0,177.0,1.0,49.2,19.8,58.2,11.0,17.5,10.6,0.0,166.3,1229,1014.5,,,,,
in the Sky,inthesky,A,1215,116.08,20.2,10.4414,2.8,180.0,180.0,1.0,17.1,67.8,6.5,8.4,19.9,5.9,0.0,125.6,1215,1007.5,,,,,
INAZUMA,inazuma,A,1326,110.37,16.6,11.8631,1.8,148.0,148.0,1.0,80.0,36.3,73.9,49.5,70.1,2.8,0.0,312.6,1326,1063.0,,,,,
INHERITANCE,inherita,A,1845,112.08,20.8,16.2584,5.0,180.0,180.0,1.0,96.1,51.9,75.8,9.4,22.6,11.6,17.3,284.7,1820,1310.0,,,,,
Inner Spirit,inspirit,A,1458,121.64,18.0,11.9164,3.8,146.0,146.0,1.0,76.4,38.7,68.6,21.9,52.2,13.9,0.0,271.7,1458,1129.0,,,,,
INORI,inori,A,1531,141.37,14.2,10.7718,1.2,146.0,146.0,1.0,90.8,26.5,100.8,13.3,109.8,1.9,0.0,343.1,1531,1165.5,,,,,
Insane Techniques,insanetc,A,1229,123.39,16.0,9.8387,4.8,146.0,146.0,1.0,46.0,33.2,41.7,10.1,23.8,22.8,0.0,177.6,1229,1014.5,,,,,
Into The Madness,into_mad,A,1286,114.68,16.6,11.0904,3.2,155.0,155.0,1.0,80.9,39.1,83.9,15.0,7.1,13.8,6.0,245.8,1281,1040.5,,,,,
INVISIBLE STRIX,invstrix,A,1157,123.99,14.6,9.2081,2.4,184.0,184.0,1.0,36.3,34.6,23.6,15.1,25.9,8.8,0.0,144.3,1157,978.5,,,,,
Jack,jack,X,1086,103.45,18.0,10.4288,1.2,116.0,116.0,1.0,64.1,47.5,52.3,36.3,91.1,2.3,0.0,293.6,1086,943.0,,,,,
Journey,journeko,X,950,115.71,11.4,8.1086,0.6,112.0,112.0,1.0,58.2,29.4,39.4,4.5,51.8,1.6,0.0,184.9,950,875.0,,,,,
Jungle Eater,jungleat,A,1517,118.78,17.0,12.6403,3.8,184.0,184.0,1.0,37.4,48.5,27.4,6.2,18.2,15.5,0.0,153.2,1517,1158.5,,,,,
Just a Little Smile,jalsmile,A,1272,118.24,16.4,10.6538,6.6,136.0,136.0,1.0,48.5,34.1,34.7,7.3,27.7,39.6,0.0,191.9,1272,1036.0,,,,,
Just Gimme,justgime,A,1393,120.08,20.0,11.4529,4.6,178.0,178.0,1.0,29.9,42.9,26.5,17.9,33.7,14.1,0.0,165.0,1393,1096.5,,,,,
Kailua,kailua,A,1125,108.6,16.4,10.2459,2.0,146.0,146.0,1.0,44.2,39.0,46.8,43.2,56.0,6.4,143.8,379.4,985,892.5,,,,,
Kecak,kecak,A,1121,119.24,14.0,9.3462,2.6,139.0,139.0,1.0,51.1,30.7,36.6,20.9,37.2,9.6,0.0,186.1,1121,960.5,,,,,
KEY,key,A,1381,120.0,16.2,11.3785,0.8,212.0,212.0,1.0,2.8,56.7,1.3,0.0,24.6,2.7,0.0,88.1,1381,1090.5,,,,,
KHAMEN BREAK,khamenbr,A,1248,129.33,13.4,9.5877,3.0,180.0,180.0,1.0,40.4,23.6,35.2,11.9,27.2,8.7,0.0,147.0,1248,1024.0,,,,,
kors k's How to make OTOGE CORE,korskhow,A,1180,126.93,21.4,9.2787,1.8,120.0,190.0,1.5833,18.7,67.7,16.7,3.9,32.3,6.5,3.6,149.4,1175,987.5,,,,,
kors k's Let's make an Image Song!,korskimg,A,1392,121.36,15.8,11.3869,3.6,176.0,176.0,1.0,26.4,43.2,25.4,5.5,11.5,14.7,26.1,152.8,1347,1073.5,,,,,
KYAMISAMA ONEGAI!,kyamsama,X,1062,120.0,12.4,8.7669,2.0,140.0,140.0,1.0,55.8,15.9,38.2,4.6,10.6,10.3,0.6,136.0,1061,930.5,,,,,
LA FESTA LA VITA!!,lafesta,A,1383,124.0,17.4,11.0464,4.2,180.0,180.0,1.0,21.3,55.6,11.6,4.7,22.2,21.8,0.0,137.2,1383,1091.5,,,,,
LAB,lab,X,1042,109.33,13.2,9.4073,2.6,180.0,180.0,1.0,30.6,25.8,39.7,10.4,48.8,6.9,0.0,162.2,1042,921.0,,,,,
LADYBIRD,ladybird,A,1219,107.54,16.8,11.9545,2.6,230.0,230.0,1.0,33.4,43.9,27.1,5.2,12.2,11.5,1.1,134.4,1217,1008.5,,,,,
LAST DAY,lastday,A,1551,117.8,17.6,13.0559,2.4,157.0,157.0,1.0,94.4,42.4,80.9,16.5,24.4,7.9,0.0,266.5,1551,1175.5,,,,,
Lawes's Parotia,lparotia,A,1294,114.86,16.2,11.2174,1.8,140.0,140.0,1.0,56.4,48.3,58.2,19.4,32.0,7.1,0.0,221.4,1294,1047.0,,,,,
Legendary Treasures,legendtr,A,1450,113.02,16.8,12.7035,1.4,172.0,172.0,1.0,38.5,77.9,32.3,3.8,17.6,3.0,22.0,195.1,1417,1108.5,,,,,
Let The Track Flow,lettrack,A,1279,111.17,18.2,11.3804,1.4,175.0,175.0,1.0,54.7,36.7,52.1,61.6,86.8,3.9,0.0,295.8,1279,1039.5,,,,,
Light and Cyber…,lt_cyber,A,1579,119.34,17.2,13.1183,2.2,181.0,181.0,1.0,81.3,43.3,56.9,2.0,13.4,4.1,0.0,201.0,1579,1189.5,,,,,
Lighting Shower,ltshower,A,1206,99.35,16.4,12.0,2.2,162.0,162.0,1.0,68.5,32.4,57.9,12.5,37.0,6.8,0.0,215.1,1206,1003.0,,,,,
"TAKA\,",likevamp,A,1351,115.65,16.0,12.1927,1.4,276.0,276.0,1.0,63.6,51.1,54.4,17.6,6.6,6.0,0.0,199.3,1351,1075.5,,,,,
Like+it!,like_it,A,1653,93.18,23.8,17.466,5.0,165.0,165.0,1.0,66.2,82.6,62.0,23.3,20.2,11.4,0.0,265.7,1653,1226.5,,,,,
Line 4 Ruin,lineruin,A,1383,112.34,16.8,12.1858,3.8,141.0,141.0,1.0,76.0,57.3,62.8,13.0,25.2,5.2,0.0,239.5,1383,1091.5,,,,,
Linus,linus,A,1052,105.52,16.4,9.8132,1.0,120.0,176.0,1.4667,20.1,50.8,22.1,12.8,18.6,3.1,0.0,127.5,1052,926.0,,,,,
Logic Board,logic,A,1173,110.77,14.0,10.4577,1.6,130.0,130.0,1.0,41.3,57.5,33.1,4.3,27.7,7.9,0.0,171.8,1173,986.5,,,,,
Lost wing at.0,lostwing,A,1141,121.95,15.2,10.1339,1.6,185.0,185.0,1.0,38.1,35.4,37.9,4.2,13.2,5.2,18.3,152.3,1124,962.0,,,,,
LOVE IS DREAMINESS,lvdream,A,0,0.0,0.0,0.0,0.0,178.0,178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,
Love Is Eternity,loveter,A,1215,121.82,13.8,9.8672,1.4,140.0,140.0,1.0,87.8,23.1,76.7,7.3,31.2,3.5,0.0,229.6,1215,1007.5,,,,,
Lovely Howdy Cowboy!!,lhcowboy,A,1405,117.33,16.2,11.8966,3.6,180.0,180.0,1.0,39.2,45.7,27.5,5.1,16.1,14.3,15.9,163.8,1391,1095.5,,,,,
lowercase lifetime,lowercas,A,1407,120.59,16.8,11.6116,2.0,205.0,205.0,1.0,23.1,54.7,18.6,1.6,24.8,7.5,10.4,140.7,1398,1099.0,,,,,
Lucy,lucy,A,1069,113.94,14.4,9.2368,1.4,156.0,156.0,1.0,30.0,44.4,16.3,4.7,30.1,4.6,0.0,130.1,1069,934.5,,,,,
LUV TO ME(UCCHIE'S EDITION),luvuchi,A,764,96.0,14.0,7.9958,2.6,160.0,160.0,1.0,22.5,36.5,20.3,14.4,29.0,3.6,0.0,126.3,764,764,,,,,
m1dy Deluxe,m1dy_dx,A,1287,118.32,17.4,10.7647,9.0,205.0,205.0,1.0,41.9,23.9,18.1,9.0,85.4,20.0,0.0,198.3,1287,1043.5,,,,,
m1dy Dynamic,m1dydyna,A,1171,120.65,16.6,9.643,3.4,185.0,185.0,1.0,29.1,30.3,25.8,15.2,56.6,11.1,22.1,190.2,1144,972.0,,,,,
m1dy Festival,m1dy_fes,A,1211,121.6,15.6,9.8426,6.8,225.0,225.0,1.0,33.7,13.6,29.2,1.7,20.0,17.9,0.0,116.1,1211,1005.5,,,,,
Macuilxochitl,macuil,A,1543,107.84,22.0,16.2,1.4,148.0,148.0,1.0,95.2,67.5,94.3,25.9,43.6,3.9,0.0,330.4,1543,1171.5,,,,,
MAGIC & LOVE,magic_lv,A,1250,114.24,17.6,10.9579,3.4,185.0,185.0,1.0,30.1,48.0,24.3,13.5,30.1,9.0,0.0,155.0,1250,1025.0,,,,,
"藤森崇多\,",matsuri,A,1302,109.5,15.0,11.7418,4.0,160.0,160.0,1.0,47.6,44.3,47.4,3.9,17.7,11.8,3.0,175.7,1298,1049.0,,,,,
MAXIVCORD,maxivcrd,A,1254,95.06,19.2,13.6,2.0,154.0,154.0,1.0,64.6,58.1,57.8,17.7,29.2,2.6,20.8,250.8,1234,1017.0,,,,,
MENTAL MELTDOWN,meltdown,A,1372,114.31,18.4,11.8609,3.4,145.0,145.0,1.0,73.2,44.3,53.8,11.1,46.0,13.0,0.0,241.4,1372,1086.0,,,,,
Meteor☆Shower,meteorsw,A,1493,120.76,20.8,12.2314,3.6,177.0,177.0,1.0,32.0,49.3,36.2,10.4,24.3,12.4,18.4,183.0,1460,1130.0,,,,,
MINT,mint,A,1138,91.3,18.2,12.2783,0.6,150.0,150.0,1.0,70.0,53.9,59.2,24.9,39.7,1.9,0.0,249.6,1138,969.0,,,,,
Mira,mira,A,1542,124.24,17.4,12.3104,2.4,184.0,184.0,1.0,84.9,42.1,80.5,22.3,7.7,3.8,0.0,241.3,1542,1171.0,,,,,
MIRACLE MEETS,miraclem,A,827,120.0,14.4,6.8783,1.2,160.0,160.0,1.0,7.7,42.6,6.9,0.0,17.4,2.9,39.5,117.0,804,802.0,,,,,
MOCHIMOCHI DREAMIN!!,mochidrm,A,1530,118.68,17.0,12.9203,4.0,170.0,170.0,1.0,49.3,44.7,41.9,6.8,13.5,18.4,12.8,187.4,1506,1153.0,,,,,
Modular Technology,modulart,A,1372,107.29,16.6,12.6444,7.4,170.0,170.0,1.0,73.5,32.6,64.8,13.5,30.8,16.9,0.0,232.1,1372,1086.0,,,,,
Monkey Business,monkeybs,A,1324,116.75,16.0,11.2838,1.6,80.0,160.0,2.0,66.5,38.6,54.3,18.0,34.8,4.8,16.8,233.8,1305,1052.5,,,,,
Move UR Body,moveurbd,A,1327,115.29,17.0,11.3914,2.6,175.0,175.0,1.0,41.1,46.8,32.2,13.6,26.1,7.4,18.3,185.5,1302,1051.0,,,,,
Moving on,movingon,A,1385,119.22,17.4,12.737,1.6,153.0,153.0,1.0,83.6,44.1,65.5,14.8,27.7,4.6,0.0,240.3,1385,1092.5,,,,,
Mukade,mukade,A,1645,118.59,19.8,13.721,1.6,160.0,160.0,1.0,93.4,42.5,81.3,35.7,47.2,4.3,7.2,311.6,1638,1219.0,,,,,
murmur twins,murmur,A,1187,111.9,14.0,10.4893,1.2,174.0,174.0,1.0,44.8,30.5,47.0,8.8,40.8,5.8,0.0,177.7,1187,993.5,,,,,
MVP,mvp,A,1318,112.95,17.4,11.5274,4.6,100.0,100.0,1.0,71.1,61.0,60.1,21.5,32.0,22.9,2.7,271.3,1314,1057.0,,,,,
My Sweet Bird?,myswbird,X,1509,116.73,17.2,12.853,2.0,108.0,180.0,1.6667,38.5,60.8,39.4,8.4,20.5,5.7,0.0,173.3,1509,1154.5,,,,,
n'pa pa BBQ,npapabbq,A,1356,116.85,16.6,11.5043,1.6,300.0,300.0,1.0,54.5,56.4,39.1,17.5,39.6,3.9,4.7,215.7,1349,1074.5,,,,,
Nasty Techniques,nastytec,A,1210,124.9,18.2,10.1136,2.4,150.0,150.0,1.0,63.5,46.3,60.6,2.6,17.2,6.5,24.1,220.8,1190,995.0,,,,,
naughty girl@Queen's Palace,naughty,A,898,114.21,12.8,7.8737,8.0,145.0,145.0,1.0,10.9,28.8,10.9,0.0,3.8,51.3,0.0,105.7,898,849.0,,,,,
naughty girl@Queen's Palace†,naughtyl,A,1156,114.21,16.8,10.0487,7.8,145.0,145.0,1.0,23.4,45.0,22.6,0.6,9.2,46.6,0.0,147.4,1156,978.0,,,,,
Necroxis Girl,necroxis,A,1390,116.8,19.4,12.745,2.6,150.0,150.0,1.0,78.4,42.4,65.6,25.9,45.1,10.1,19.8,287.3,1368,1084.0,,,,,
NEMESIS,nemesis,A,532,117.16,13.8,8.1815,1.2,164.0,164.0,1.0,47.9,25.0,48.6,16.3,35.3,5.9,0.0,179.0,532,532,,,,,
NEMESIS-gratitude remix- IIDX Edition,nemesisp,A,1346,120.77,18.8,11.5483,1.6,175.0,175.0,1.0,54.0,45.8,46.6,15.0,49.9,3.4,0.0,214.7,1346,1073.0,,,,,
Nemophila,nemophla,A,1404,120.0,15.0,11.5868,1.4,170.0,170.0,1.0,51.5,40.2,51.9,13.4,31.4,3.1,24.2,215.7,1357,1078.5,,,,,
Neo Heritage,neoherit,A,1454,116.9,18.4,12.3863,5.0,150.0,150.0,1.0,66.2,49.7,54.8,12.7,21.9,16.2,0.0,221.5,1454,1127.0,,,,,
neogenesis,neogenes,X,789,112.95,11.0,6.8761,1.4,151.0,151.0,1.0,34.3,24.4,26.9,2.9,14.0,2.2,0.0,104.7,789,789,,,,,
Never Fade Away,nvrfade,A,1535,118.59,18.2,12.8101,1.6,170.0,170.0,1.0,75.2,50.9,59.8,3.9,22.5,6.5,0.0,218.8,1535,1167.5,,,,,
New Decade IIDX Edition,nwdecade,A,1539,112.88,19.0,13.4761,4.4,200.0,200.0,1.0,36.3,47.6,29.5,11.7,21.0,13.5,0.0,159.6,1539,1169.5,,,,,
NEW SENSATION-もう、あなたしか見えない-,new_sens,A,1263,118.8,15.0,10.5294,1.8,200.0,200.0,1.0,24.8,41.8,13.4,3.6,13.0,4.7,18.3,119.6,1238,1019.0,,,,,
Next Tales 2 Oath(IIDX 20th Anniv \ Theme),nexttale,A,1342,116.0,19.4,12.6604,3.6,180.0,180.0,1.0,65.0,44.0,39.3,23.5,31.7,7.1,0.0,210.6,1342,1071.0,,,,,
Night! Night! Night!,nightx3,A,1396,119.27,18.8,12.7486,3.0,165.0,165.0,1.0,70.1,43.9,62.2,7.4,21.8,12.0,0.0,217.4,1396,1098.0,,,,,
Night sky,nightsky,A,1469,122.5,19.0,11.9869,4.2,192.0,192.0,1.0,50.6,41.8,19.9,5.2,44.0,9.1,26.3,196.9,1439,1119.5,,,,,
No Limit 2 dAnce feat. 大山愛未,no2dance,A,1162,117.77,15.0,9.7424,4.8,155.0,155.0,1.0,37.2,38.1,29.6,9.3,22.6,8.6,0.0,145.4,1162,981.0,,,,,
No Tears,notears,A,1286,121.41,16.6,10.5148,1.6,170.0,170.0,1.0,30.8,63.4,30.7,4.9,28.4,4.5,0.0,162.7,1286,1043.0,,,,,
No.13,no13,A,1607,114.42,19.8,13.8748,3.6,172.0,172.0,1.0,86.7,38.7,59.0,12.4,30.5,6.5,0.0,233.8,1607,1203.5,,,,,
Nocturnal 2097,noct2097,A,1479,119.24,18.0,12.2483,1.8,157.0,157.0,1.0,66.8,46.3,56.8,13.9,22.2,4.2,38.8,249.0,1436,1118.0,,,,,
nostos,nostos,A,1135,125.29,18.4,9.0,1.0,86.0,144.0,1.6744,47.8,44.1,42.1,6.8,45.3,2.3,0.0,188.4,1135,967.5,,,,,
Ohayo!,ohayo,A,1202,118.4,18.0,11.228,3.6,150.0,150.0,1.0,43.4,57.8,39.4,10.8,27.8,13.3,5.4,197.9,1194,997.0,,,,,
On the FM,onthefm,A,1360,103.2,21.0,13.0519,4.8,200.0,200.0,1.0,36.1,62.8,26.8,7.0,27.5,17.6,4.4,182.2,1357,1078.5,,,,,
Onyx,onyx,A,1214,109.57,15.8,11.0,1.2,44.0,174.0,3.9545,30.0,49.9,19.8,3.0,10.4,3.0,32.1,148.2,1158,979.0,,,,,
OOO,ooo,X,1008,111.54,12.6,8.9375,1.0,140.0,140.0,1.0,34.0,44.5,27.9,7.9,21.0,3.1,0.0,138.4,1008,904.0,,,,,
OTOKOZAKA,otokozak,A,1485,124.5,19.0,11.848,1.8,160.0,160.0,1.0,85.3,32.3,48.9,17.2,45.8,5.2,0.0,234.7,1485,1142.5,,,,,
out of disk space,out_disk,A,1305,109.72,17.0,11.7236,3.2,120.0,190.0,1.5833,11.6,44.6,12.6,7.1,19.0,18.2,21.1,134.2,1281,1040.5,,,,,
Outbreak,outbreak,A,1503,120.69,17.6,12.3504,6.0,195.0,195.0,1.0,29.6,55.2,17.1,12.4,22.1,14.3,0.0,150.7,1503,1151.5,,,,,
outer wall,outwall,X,794,98.26,11.6,7.9333,2.0,149.0,149.0,1.0,20.8,31.4,7.3,0.0,38.4,9.1,0.0,107.0,794,794,,,,,
Overload Frontier,overload,A,1327,122.06,15.4,10.7577,4.4,175.0,175.0,1.0,33.1,27.9,27.8,2.3,20.6,25.1,0.0,136.8,1327,1063.5,,,,,
Overslept,ovrslept,A,1300,114.44,18.2,11.1965,2.6,170.0,170.0,1.0,57.6,45.3,46.7,12.1,28.3,5.0,0.0,195.0,1300,1050.0,,,,,
PAPAYAPA BASS,ppypbass,A,1428,120.82,15.2,11.7091,2.4,147.0,147.0,1.0,59.0,49.2,44.4,10.9,28.0,6.7,0.0,198.2,1428,1114.0,,,,,
Para siempre,psiempre,A,1461,124.0,18.4,11.6432,4.6,180.0,180.0,1.0,10.4,57.5,14.1,3.0,32.8,13.2,18.0,149.0,1421,1110.5,,,,,
PENDUAL TALISMAN,pendualt,A,1130,107.95,13.8,10.2907,2.8,120.0,160.0,1.3333,21.7,53.0,19.6,2.5,19.8,4.8,0.0,121.4,1130,965.0,,,,,
Perfect Plan,perfplan,A,1328,129.6,15.0,10.2062,1.4,150.0,150.0,1.0,49.9,38.7,47.9,5.7,15.9,5.1,48.0,211.2,1273,1036.5,,,,,
Pharaoh,pharaoh,A,1242,100.0,18.4,12.2792,2.2,180.0,180.0,1.0,35.7,54.8,31.1,3.5,15.6,8.5,0.0,149.2,1242,1021.0,,,,,
