title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
bloomin' feeling,bloominf,A,1271,98.2,18.8,12.9102,1.8,181.0,181.0,1.0,44.2,57.1,34.2,6.1,13.3,6.1,6.3,167.3,1261,1030.5,,,,,
BLUST OF WIND,blstwind,X,1075,119.17,11.6,8.95,1.2,145.0,145.0,1.0,33.4,41.8,17.9,2.3,11.7,3.3,28.5,138.9,1055,927.5,,,,,
Bounce Bounce Bounce,bouncex3,A,1277,128.28,13.8,9.8527,5.2,116.0,116.0,1.0,42.5,46.0,29.3,24.4,68.1,33.7,0.0,244.0,1277,1038.5,,,,,
Brahma,brahma,A,1454,116.4,20.0,12.3573,3.8,400.0,400.0,1.0,21.2,57.6,16.0,5.3,57.3,6.0,0.0,163.4,1454,1127.0,,,,,
BRAINSTORM,brainstm,A,1337,124.0,16.6,10.6848,7.2,180.0,180.0,1.0,37.2,40.0,34.5,12.8,21.5,26.2,0.0,172.2,1337,1068.5,,,,,
BRAVE OUT,braveout,X,1091,120.0,13.2,8.9835,4.0,150.0,150.0,1.0,60.7,18.6,51.3,11.2,22.8,6.8,0.0,171.4,1091,945.5,,,,,
BREAK OVER,breakovr,A,1210,131.66,16.4,9.1636,4.0,106.0,150.0,1.4151,56.9,37.6,52.6,19.7,35.9,15.5,0.0,218.2,1210,1005.0,,,,,
Breakin' Rules,brkrules,A,1396,124.24,16.4,11.2032,1.6,170.0,170.0,1.0,59.0,33.2,57.7,13.7,39.7,4.1,0.0,207.4,1396,1098.0,,,,,
"Breaking Dawn feat. NO+CHIN, AYANO",brk_dawn,A,1467,127.74,17.0,11.4422,2.4,186.0,186.0,1.0,45.3,36.2,38.3,10.0,24.0,7.0,0.0,160.8,1467,1133.5,,,,,
Broadbanded,brdband,A,1004,120.0,15.4,8.2975,1.8,140.0,140.0,1.0,76.1,21.3,31.0,20.1,94.8,4.3,0.0,247.6,1004,902.0,,,,,
BROKEN EDEN,brkneden,A,1101,115.56,14.6,9.6175,2.4,162.0,162.0,1.0,64.4,31.2,59.1,16.5,37.6,4.5,0.0,213.3,1101,950.5,,,,,
Buffalo,buffalo,X,1281,97.78,19.0,12.8408,4.8,108.0,108.0,1.0,73.9,53.1,77.4,28.9,22.1,29.0,0.0,284.4,1281,1040.5,,,,,
Butterfly Twist,buttwist,A,1373,123.0,18.8,11.0403,3.8,160.0,160.0,1.0,46.5,48.4,33.3,8.1,18.0,11.2,12.3,177.8,1342,1071.0,,,,,
C-C-C-N-N-N,cccnnn,A,1434,117.89,18.8,12.0644,6.6,120.0,180.0,1.5,39.4,51.8,40.0,8.6,15.5,19.6,0.0,174.9,1434,1117.0,,,,,
CALL,call,X,933,118.48,12.8,7.8017,0.6,158.0,158.0,1.0,8.6,38.1,7.9,0.0,25.2,1.6,84.7,166.1,834,817.0,,,,,
CaptivAte2～覚醒～,ckakusei,A,1188,108.34,18.4,10.8862,2.2,175.0,175.0,1.0,74.8,38.8,58.1,5.4,24.1,5.0,0.0,206.2,1188,994.0,,,,,
Castle on the Moon,csl_moon,A,1212,93.06,19.6,12.8149,3.2,191.0,191.0,1.0,60.1,32.0,43.7,13.3,27.2,8.7,0.0,185.0,1212,1006.0,,,,,
Catch Me,catchme,X,906,102.39,12.2,8.7592,3.2,115.0,115.0,1.0,28.5,35.6,14.3,14.9,51.9,19.0,0.0,164.2,906,853.0,,,,,
Catch ya Getcha!,c_gatcha,A,1481,112.4,18.0,13.0142,4.0,156.0,156.0,1.0,66.6,40.8,54.3,6.5,35.1,20.3,0.0,223.6,1481,1140.5,,,,,
Change Yourself,changeys,A,1150,116.13,15.2,10.9467,3.0,155.0,155.0,1.0,73.8,26.4,68.7,12.5,26.5,8.9,24.4,241.2,1136,968.0,,,,,
chaos eater-IIDX edition-,chaoseat,A,1314,109.71,18.2,11.8491,3.2,210.0,210.0,1.0,14.3,48.5,17.8,2.9,41.9,8.6,0.0,134.0,1314,1057.0,,,,,
CHAOTIC SUNBIRD,chaosunb,A,1662,116.32,18.2,14.1556,2.0,163.0,163.0,1.0,66.4,59.4,43.8,8.1,45.9,9.5,9.9,243.0,1642,1221.0,,,,,
CHECKING YOU OUT,checking,A,651,100.0,10.6,6.4,6.2,108.0,216.0,2.0,19.5,19.5,19.8,1.9,1.9,66.7,0.0,129.3,651,651,,,,,
Chemical Colours,chemiclr,A,1416,116.57,15.4,12.0821,5.8,175.0,175.0,1.0,34.7,49.2,30.8,7.4,17.6,19.9,13.7,173.3,1386,1093.0,,,,,
Chronos,chronos,A,1605,109.69,18.2,14.5255,2.4,128.0,128.0,1.0,69.9,68.0,70.9,26.0,53.0,10.5,42.4,340.7,1568,1184.0,,,,,
City Never Sleeps(IIDX EDITION),citynvrs,A,1340,124.04,17.4,10.6656,0.8,178.0,178.0,1.0,29.4,54.4,31.9,5.8,10.1,2.0,20.2,153.8,1309,1054.5,,,,,
Cleopatrysm,cleopatr,A,1312,116.21,18.0,11.2103,2.0,190.0,190.0,1.0,37.5,40.4,35.0,12.6,16.9,9.1,0.0,151.5,1312,1056.0,,,,,
Click Again,click,A,952,113.98,14.6,8.2351,2.0,137.0,137.0,1.0,31.8,40.9,24.2,16.8,94.5,10.7,0.0,218.9,952,876.0,,,,,
CODE -CRiMSON-,ccrimson,A,1508,119.37,17.8,12.5866,3.4,167.0,167.0,1.0,68.9,41.5,50.5,5.0,26.2,11.1,0.6,203.8,1504,1152.0,,,,,
CODE:2,code_2,A,1491,119.32,16.8,12.3467,2.0,155.0,155.0,1.0,62.4,46.2,46.8,7.0,37.7,7.1,0.0,207.2,1491,1145.5,,,,,
COLOSSEUM,coloseum,A,1137,102.86,15.4,10.967,2.4,140.0,140.0,1.0,78.3,59.7,66.7,19.2,38.7,6.2,0.0,268.8,1137,968.5,,,,,
CONCEPTUAL,concept,A,1391,111.52,16.6,12.3232,1.8,198.0,198.0,1.0,45.3,45.9,35.7,12.6,26.5,6.1,0.0,172.1,1391,1095.5,,,,,
CONNECT-,connect_,A,1483,112.0,16.8,13.1044,2.4,150.0,150.0,1.0,88.0,47.8,77.0,13.6,26.4,5.4,0.0,258.2,1483,1141.5,,,,,
Constellation,constell,A,1435,118.39,19.2,11.9933,1.6,140.0,140.0,1.0,86.2,45.5,78.6,16.6,30.0,3.6,8.2,268.7,1426,1113.0,,,,,
Cookie Bouquets,cookie_b,A,1452,125.27,17.2,11.4889,2.2,205.0,205.0,1.0,20.5,58.9,14.3,2.5,14.9,4.2,0.0,115.3,1452,1126.0,,,,,
COSMIC CYBER,coscyber,A,1323,105.88,20.6,13.8253,4.0,170.0,170.0,1.0,65.1,48.6,54.9,12.8,27.3,9.2,0.0,217.9,1323,1061.5,,,,,
Countdown to Heaven or Hell,countdhh,A,1569,114.58,18.0,13.6383,3.4,155.0,155.0,1.0,90.9,43.6,80.4,23.4,38.4,5.9,12.4,295.0,1556,1178.0,,,,,
Crazy Jackpot,crazy_jp,A,1447,114.44,16.0,12.4852,4.2,170.0,170.0,1.0,43.8,33.6,56.2,38.1,44.2,11.8,0.0,227.7,1447,1123.5,,,,,
crew,crew,A,1375,132.9,17.0,11.0887,2.6,150.0,150.0,1.0,70.3,41.2,56.3,12.6,23.0,3.8,0.0,207.2,1375,1087.5,,,,,
Critical Crystal,ccrystal,A,1303,113.09,22.4,11.4158,3.4,191.0,191.0,1.0,21.6,58.3,30.3,32.5,53.9,16.3,3.8,216.7,1296,1048.0,,,,,
Cyber True Color,cyberclr,A,1128,121.6,15.4,10.3064,1.8,150.0,150.0,1.0,58.2,29.3,46.5,13.9,36.8,6.5,0.0,191.2,1128,964.0,,,,,
D,d_eagle,A,1238,117.68,17.6,10.3661,2.6,30.0,240.0,8.0,69.6,33.5,63.9,39.9,76.5,10.0,12.2,305.6,1235,1017.5,,,,,
D.C.fish,dcfish,A,1178,116.13,16.8,10.0462,1.4,155.0,155.0,1.0,45.1,41.8,35.0,22.7,40.8,2.9,0.0,188.3,1178,989.0,,,,,
Daily Lunch Special,daylunch,A,1441,125.27,16.0,11.4143,2.2,205.0,205.0,1.0,7.3,54.8,13.1,3.2,15.2,6.6,30.4,130.6,1393,1096.5,,,,,
Danza Aestas,danzaest,A,1519,120.0,15.2,12.5455,1.2,150.0,150.0,1.0,88.7,40.9,77.9,7.2,30.8,3.8,0.0,249.3,1519,1159.5,,,,,
Dark Fall,darkfall,A,995,115.25,16.4,8.6632,5.6,202.0,202.0,1.0,43.5,27.2,48.6,1.1,12.0,9.4,15.3,157.1,977,888.5,,,,,
DAWN-THE NEXT ENDEAVOUR-,dawn_end,A,1547,143.03,15.4,10.6958,1.4,183.0,183.0,1.0,23.1,51.5,12.9,11.8,55.8,1.8,0.0,156.9,1547,1173.5,,,,,
DAZZLE ATTACK,dazzleat,A,1435,120.69,17.2,11.8281,2.6,175.0,175.0,1.0,39.3,52.2,29.0,6.8,18.6,10.2,0.0,156.1,1435,1117.5,,,,,
